27,54,85,100,103,86,77,67,72,70,65,78,60,53,46,37,38,33,32,31,34,28,29,27,23,
9,40,46,82,113,81,83,98,78,73,69,78,64,53,52,44,39,42,34,33,31,32,32,35,40,
8,27,53,84,88,81,91,72,73,87,75,76,62,48,50,52,51,42,33,35,32,23,28,31,27,
5,11,31,68,96,88,89,76,93,86,95,71,56,58,47,57,46,34,38,28,33,35,27,35,30,
6,10,21,48,75,96,92,94,84,104,92,87,67,62,54,40,40,37,35,32,27,33,28,22,32,
8,7,10,29,48,61,92,109,100,103,106,82,74,67,65,45,44,43,42,35,29,28,26,28,29,
10,7,34,49,67,95,104,97,91,97,76,79,64,67,54,34,39,39,31,31,35,21,27,26,29,
10,31,38,62,85,108,84,98,71,68,72,63,60,50,44,41,39,44,32,33,29,31,31,30,31,
19,53,60,79,119,98,89,91,57,54,52,55,52,54,54,42,43,49,34,38,26,29,27,30,27,
9,31,82,96,113,124,87,91,67,61,51,65,51,51,43,47,45,35,38,35,36,28,39,27,33,
10,25,61,108,130,106,94,91,77,64,60,48,58,49,39,42,48,40,40,40,34,33,29,28,33,
11,37,58,141,99,105,109,87,63,65,54,48,48,47,46,39,44,38,50,39,33,32,37,34,32,
44,46,104,113,115,82,89,65,64,55,49,41,46,41,39,45,47,46,49,34,39,27,37,40,42,
47,60,86,106,94,85,61,68,66,53,52,42,47,34,38,35,30,53,46,44,41,44,40,48,63,
38,46,91,90,81,83,72,49,59,64,55,54,42,40,38,45,36,36,38,43,44,42,49,54,46,
37,44,89,85,70,65,68,52,52,57,52,47,50,39,38,38,43,32,31,39,32,40,40,55,52,
20,42,55,75,75,59,62,66,59,68,60,49,39,61,50,37,42,42,28,37,32,37,53,54,38,
40,68,51,41,46,41,46,42,49,71,64,43,41,44,36,31,48,42,36,31,31,27,28,30,25,
32,60,68,50,37,35,28,33,32,37,29,54,74,43,44,46,47,33,38,32,33,25,30,30,22,
