3,6,16,30,85,111,148,161,146,155,127,111,70,40,6,5,1,1,2,0,1,0,2,1,0,
6,10,16,27,78,112,148,135,161,152,144,101,77,51,11,3,2,0,1,2,0,1,0,1,0,
5,6,21,73,81,169,144,169,145,145,97,108,63,21,3,2,1,1,0,0,0,0,0,0,0,
4,5,12,16,38,96,118,180,150,149,133,130,99,82,46,10,2,2,0,2,0,0,0,0,0,
6,33,78,80,152,102,124,148,122,105,78,79,61,70,30,6,5,2,0,0,0,0,0,0,0,
32,30,58,54,73,105,75,64,64,92,78,88,69,88,52,53,60,43,30,29,26,11,3,1,0,
5,11,25,38,86,108,122,189,160,150,141,100,68,43,26,12,3,3,0,1,0,1,1,0,0,
1,1,8,17,20,47,82,81,108,133,139,125,126,109,84,75,58,35,31,18,6,0,0,0,0,
7,14,37,76,102,123,162,149,141,151,104,80,55,46,32,18,12,2,0,1,0,0,0,0,0,
50,80,101,131,153,129,119,127,120,88,54,52,42,30,29,10,1,1,0,0,0,0,0,0,0,
7,17,38,90,89,124,164,152,138,137,123,84,64,45,36,21,7,1,0,0,0,0,0,0,0,
2,3,11,20,30,46,73,70,63,85,110,115,90,97,83,85,81,55,52,45,36,29,22,22,10,
49,61,78,95,91,97,91,102,103,105,76,99,66,68,41,42,29,21,8,2,1,0,1,0,0,
4,20,54,98,118,143,177,144,146,129,105,60,50,45,30,17,3,2,3,2,0,1,0,0,1,
7,14,52,60,118,140,163,165,155,152,115,96,78,40,10,2,1,1,1,1,0,1,0,0,0,
38,46,100,124,171,159,147,138,136,115,96,64,38,18,1,0,0,0,0,0,0,0,0,0,0,
47,100,102,109,111,106,119,109,112,115,125,86,62,49,12,7,3,2,2,1,1,1,0,2,1,
47,99,106,108,108,103,102,115,108,111,102,92,64,42,19,18,12,9,6,1,1,1,0,0,0,
6,40,55,114,139,184,147,163,138,124,85,80,44,36,14,5,2,2,3,2,3,1,3,2,3,
9,33,70,79,111,144,172,146,134,123,97,77,74,38,25,20,6,1,0,1,0,0,0,0,0,
4,8,15,38,59,77,86,97,99,133,130,102,116,72,76,59,51,42,35,27,18,12,3,0,0,
1,7,13,35,61,90,70,79,109,143,96,91,90,103,66,62,36,46,28,27,25,29,13,13,11,
2,6,5,13,33,70,80,82,117,106,149,107,91,90,78,80,47,36,36,33,29,16,24,10,9,
2,6,5,13,19,74,75,99,125,120,143,96,88,103,78,62,41,35,33,29,30,17,22,18,10,
4,6,12,32,55,74,129,112,145,114,119,99,98,58,58,44,36,33,26,29,17,20,15,11,6,
1,4,10,21,52,85,106,123,131,146,99,118,81,76,48,46,38,32,28,29,19,21,16,14,7,
5,7,39,56,94,110,139,133,112,97,96,99,68,56,47,37,33,25,24,16,20,15,6,10,4,
83,91,136,158,96,113,117,80,84,62,47,50,31,39,31,26,27,23,11,9,9,0,0,0,0,
4,4,10,27,61,120,146,172,156,113,125,106,75,47,45,28,33,28,23,24,12,7,6,1,0,
5,25,53,99,113,142,139,119,98,119,79,63,48,52,32,27,27,35,22,21,17,18,12,4,3,
1,5,24,82,114,145,148,131,125,98,112,65,49,59,36,39,26,21,24,19,13,13,12,9,2,
4,4,12,45,114,118,156,171,116,92,102,85,54,46,35,34,35,25,22,21,24,17,15,11,7,
3,14,61,110,124,164,166,123,90,86,67,62,45,35,36,32,35,22,22,20,16,12,12,11,4,
0,1,5,18,75,150,134,204,156,103,123,61,56,47,38,43,28,33,24,19,24,13,12,12,4,
3,8,77,108,128,201,155,111,104,87,64,52,35,35,33,30,32,25,19,19,22,15,10,8,5,
5,71,100,129,192,157,130,102,78,70,44,43,38,37,28,31,25,25,18,20,14,14,10,3,0,
90,91,126,184,128,124,89,77,58,52,39,37,39,41,32,28,18,22,23,22,12,13,15,10,4,
2,4,8,15,41,165,155,263,131,111,90,48,41,40,33,40,39,30,32,26,22,23,15,13,5,
72,110,160,197,149,97,106,80,62,34,44,38,35,26,33,26,27,18,14,16,16,10,10,6,3,
125,182,130,134,93,85,77,59,57,49,42,39,41,36,31,24,21,26,20,18,14,10,10,3,5,
